Unnamed: 0,Location,Company_Revenue,python,sql,machine learning,r,hadoop,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries,Company_Employees,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA
475,MA,Less than $1B (USD),1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Hive', 'Spark', 'Machine Learning', 'PostgreSQL', 'R', 'Python']",7,Pluralsight,4,8.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,0,0,0,0,1
476,IL,Missing,0,0,1,0,0,Data Scientist,100000-119999,data_scientist,"['Natural Language Processing', 'Machine Learning', 'Microsoft Powerpoint', 'Data Science']",4,HCSC,4,1472.0,Health Care,1,0,0,0,0,0,0,0,0,1,0,0,missing,0,0,0,0,1,0,0,0,0,0
477,CO,Missing,1,0,0,0,0,Data Scientist,100000-119999,data_scientist,"['TensorFlow', 'Natural Language Processing', 'Image Processing', 'Python']",4,Pearson,4,1730.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
478,HI,$5B to $10B (USD),1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Microsoft Project', 'Machine Learning', 'R', 'SQL', 'Splunk', 'C#', 'OOP', 'Military Experience', 'JavaScript', 'Microsoft Powerpoint', 'Visual Basic', 'Microsoft Office', 'Tableau', 'Java', '.Net', 'SharePoint', 'Docker', 'Python']",18,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,"10,000+",1,0,0,1,1,0,0,0,0,0
479,WA,Missing,0,0,1,0,0,Data Scientist - Biostatistics,100000-119999,data_scientist,"['Data Mining', 'Machine Learning']",2,Pacific Northwest National Laboratory,4,123.0,Organization,0,1,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
480,CA,$5B to $10B (USD),0,1,1,1,0,Marketing & Customer Insights – Data Scientist Intern,100000-119999,data_scientist,"['Machine Learning', 'Adobe Creative Suite', 'R', 'Adobe Marketing', 'SQL', 'Tableau']",6,Adobe,4,484.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",1,0,0,0,1,1,0,0,0,0
481,MI,More than $10B (USD),1,1,0,1,0,Supply Chain Data Scientist,100000-119999,data_scientist,"['Java', 'Alteryx', 'Data Mining', 'MATLAB', 'R', 'SAS', 'Python', 'SQL']",8,Ford Motor Company,4,4811.0,Auto,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,0,1,1,0,0,0,0,0
482,NY,Missing,1,1,1,0,0,Data Scientist,100000-119999,data_scientist,"['Java', 'Data Mining', 'Machine Learning', 'Data Warehouse', 'Statisical Analysis', 'Python', 'SQL']",7,IEEE GlobalSpec,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,0,1,0,0,0
483,VA,$5B to $10B (USD),0,0,0,0,0,"Data Scientist, Junior",100000-119999,data_scientist,"['Data Mining', 'Tableau', 'Splunk', 'Big Data', 'Spark', 'Docker', 'Data Analysis', 'Data Science']",8,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,0,1,0,1,0,0,1,0,0
484,MI,Missing,0,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Microsoft Powerpoint', 'R', 'SAS', 'SQL']",6,AF Group,4,10.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
485,MI,Missing,0,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Microsoft Powerpoint', 'R', 'SAS', 'SQL']",6,"Accident Fund Holdings, Inc.",4,2.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
486,TX,Missing,1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['TensorFlow', 'Linux', 'Hive', 'Machine Learning', 'R', 'C/C++', 'Software Development', 'AI', 'Scripting', 'Scala', 'Tableau', 'Java', 'Spark', '4G/LTE', 'Git', 'Mac OS', 'Python']",17,Ericsson,4,5198.0,Telecommunications,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",1,0,1,1,1,0,0,0,1,0
487,VA,Missing,1,0,1,0,1,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Hadoop', 'PostgreSQL', 'Python']",4,Radiant Solutions,4,24.0,Aerospace and Defense,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,1,0,0
488,VA,More than $10B (USD),1,1,1,1,1,Data Scientist,100000-119999,data_scientist,"['JavaScript', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'HTML5', 'SQL', 'HBase', 'Java', 'Angular', 'Spark', 'Design Experience', 'CSS', 'Python']",14,Micron,4,618.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,1,1,1,0,0,1,0,0
489,IN,Missing,1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'Python']",3,"Viral Launch, Inc.",0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,0
490,WA,Missing,1,1,1,1,1,Data Scientist II,100000-119999,data_scientist,"['Linux', 'Hive', 'Machine Learning', 'XML', 'R', 'JSON', 'SQL', 'HTML5', 'Big Data', 'Kubernetes', 'JavaScript', 'Hadoop', 'Image Processing', 'MongoDB', 'Git', 'Docker', 'NoSQL', 'Python']",18,Fred Hutchinson Cancer Research Center,4,95.0,Organization,0,1,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
491,MO,Missing,1,1,1,1,0,Bioinformatic Data Scientist,100000-119999,data_scientist,"['JavaScript', 'Machine Learning', 'Perl', 'R', 'SQL', 'Java', 'NoSQL', 'Python', 'PHP']",9,EMD,4,50.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,1,1,0,0,0,0,0
492,TX,Missing,1,1,1,1,0,Senior Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Python']",5,Money Mart Financial Services,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,1,0,0,0,0,0,0,1,0
493,IL,Missing,1,0,1,1,0,Associate Data Scientist,100000-119999,data_scientist,"['Natural Language Processing', 'Machine Learning', 'Microsoft Powerpoint', 'R', 'Python']",5,HCSC,4,1472.0,Health Care,1,0,0,0,0,0,0,0,0,1,0,0,missing,0,0,0,0,1,0,0,0,0,0
494,ME,Missing,0,1,0,1,0,Population Health Data Scientist,100000-119999,data_scientist,"['Data Mining', 'R', 'Microsoft Office', 'SQL']",4,Martin's Point Health Care,4,29.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,missing,0,0,0,0,1,0,0,0,0,0
495,MA,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Experimental Design', 'R', 'Statisical Analysis', 'SQL', 'Big Data', 'Predictive Analytics', 'Spark', 'Python']",9,Carlisle & Company,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,1,0,1,0,0,0,0,1
496,CO,Missing,1,0,1,1,0,Data Scientist / Machine Learning,100000-119999,data_scientist,"['TensorFlow', 'Big Data', 'Data Mining', 'Machine Learning', 'NoSQL', 'R', 'Python']",7,Qwinix,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
497,CA,More than $10B (USD),1,0,0,1,0,"Data Scientist, PhD University Graduate",100000-119999,data_scientist,"['Statistical Software', 'Data Analysis', 'Scripting', 'R', 'SAS', 'Leadership Experience', 'Python']",7,Google,4,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,1,0,0,1,1,0,0,0,0
498,TX,$1B to $5B (USD),1,0,0,1,0,Data Scientist,100000-119999,data_scientist,"['R', 'Scala', 'Natural Language Processing', 'Confluence', 'Spark', 'Docker', 'Python', 'Jenkins', 'Jira', 'AWS']",10,Electronic Arts,4,417.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,0,0,0,1,0
499,CA,More than $10B (USD),0,0,1,0,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'SAP']",3,SAP,4,1791.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,1,1,0,0,0,0
500,VA,More than $10B (USD),1,1,1,1,1,Data Scientist,100000-119999,data_scientist,"['JavaScript', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'HTML5', 'SQL', 'HBase', 'Java', 'Angular', 'Spark', 'Design Experience', 'CSS', 'Python']",14,Micron,4,618.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,1,1,1,0,0,1,0,0
501,NC,Missing,1,0,1,0,0,Data Scientist,100000-119999,data_scientist,"['Java', 'Natural Language Processing', 'AI', 'Machine Learning', 'Software Development', 'Scala', 'Data Science', 'Python']",8,RELX Group,4,778.0,Not Listed,0,0,0,0,1,0,0,0,0,0,0,0,missing,0,0,0,1,1,0,0,0,0,0
502,TX,$5B to $10B (USD),1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Tableau', 'Splunk', 'Docker', 'NoSQL', 'Python']",9,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,1,0,0,1,0,0,0,1,0
503,TX,Missing,1,1,1,0,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'CI/CD', 'SQL', 'Apache', 'S3', 'PostgreSQL', 'REST', 'Python', 'GIS', 'AWS']",10,Amne,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,1,0
504,WI,Missing,0,1,0,0,0,Data Scientist,100000-119999,data_scientist,"['Data Analysis', 'SAS', 'SQL']",3,"Colony Brands, Inc.",4,156.0,Consumer Goods and Services,0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",0,1,0,0,1,0,0,0,0,0
505,MO,More than $10B (USD),1,1,0,0,0,Data Scientist,100000-119999,data_scientist,"['Java', 'ArcGIS', 'Quality Control', 'Python', 'GIS', 'SQL', 'Microsoft Access']",7,BAE Systems,4,3246.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,1,1,0,0,0,0,0
506,CA,$5B to $10B (USD),1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'SQL']",5,Paypal,4,988.0,Banks and Financial Services,0,0,0,0,0,0,0,0,1,0,0,0,"10,000+",0,0,0,0,1,1,0,0,0,0
507,NC,$5B to $10B (USD),0,0,0,1,0,Associate Data Scientist,100000-119999,data_scientist,"['Data Mining', 'R', 'SAS']",3,Carolinas HealthCare System,4,1145.0,Health Care,0,0,0,0,1,0,0,0,0,1,0,0,"10,000+",0,1,0,0,1,0,0,0,0,0
508,ID,More than $10B (USD),1,1,1,1,1,Data Scientist,100000-119999,data_scientist,"['Hive', 'Microsoft SQL Server', 'Machine Learning', 'R', 'SQL', 'Software Development', 'Hadoop', 'Scala', 'Oracle', 'HBase', 'Teradata', 'Spark', 'Python']",13,Micron,4,618.0,Computers and Electronics,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,1,0,1,0,0,0,0,0
509,GA,More than $10B (USD),1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Hive', 'Data Mining', 'Spark', 'Machine Learning', 'R', 'Python', 'SQL']",8,UPS,4,27660.0,Transport and Freight,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,1,0,1,0,0,0,0,0
510,OH,Missing,1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'R', 'Python']",6,"Ascena Retail Group, Inc.",4,20.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,1,0,1,0,0,0,0,0
511,TX,More than $10B (USD),1,1,1,1,0,"Data Scientist, Revenue Management",100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Scripting', 'R', 'SAS', 'C/C++', 'SQL', 'Java', 'NoSQL', 'Python', 'OOP']",11,SYSCO,4,2628.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",0,1,0,1,1,0,0,0,1,0
512,AZ,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Scala', 'Statisical Analysis', 'C/C++', 'SQL', 'Natural Language Processing', 'Design Experience', 'Python']",10,Verra Mobility,3,30.0,Transport and Freight,0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
513,OH,More than $10B (USD),1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'SPSS', 'R', 'SAS', 'Python']",5,GE Careers,4,4683.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,0,0
514,OH,Missing,1,1,1,1,1,Data Scientist,100000-119999,data_scientist,"['Pig', 'Hive', 'Machine Learning', 'Hadoop', 'R', 'SAS', 'SQL', 'MongoDB', 'Git', 'MATLAB', 'Python']",11,Illumination Works,2,4.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
515,MD,$5B to $10B (USD),1,0,1,1,1,Data Scientist,100000-119999,data_scientist,"['TensorFlow', 'Machine Learning', 'Hadoop', 'R', 'Tableau', 'Splunk', 'Natural Language Processing', 'MongoDB', 'Docker', 'Python', 'Elasticsearch']",11,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,1,0,0,0,1,0,0,0,0,0,"10,000+",1,0,0,0,1,0,0,0,0,0
516,GA,More than $10B (USD),1,0,1,1,1,Principal Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'HBase', 'Java', 'Predictive Analytics', 'Spark', 'Unit Testing', 'Python']",10,WestRock,3,1378.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,1,1,1,0,0,0,0,0
517,GA,More than $10B (USD),1,0,1,1,1,Principal Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'HBase', 'Java', 'Predictive Analytics', 'Spark', 'Unit Testing', 'Python']",10,WestRock,3,1378.0,Industrial Manufacturing,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,1,1,1,0,0,0,0,0
518,MN,More than $10B (USD),1,0,1,1,1,Data Scientist (June 2019),100000-119999,data_scientist,"['Hive', 'Microsoft SQL Server', 'Machine Learning', 'R', 'C/C++', 'MySQL', 'Data Mining', 'Hadoop', 'Scala', 'Java', 'MongoDB', 'Spark', 'Docker', 'Redis', 'Python']",15,"C.H. Robinson Worldwide, Inc.",4,874.0,Transport and Freight,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,1,1,1,0,0,0,0,0
519,DC,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['JavaScript', 'Machine Learning', 'R', 'C/C++', 'SQL', 'HTML5', 'Java', 'Natural Language Processing', 'Data Analysis', 'Python']",10,MEDSTAR HEALTH RESEARCH INSTITUTE (MHRI),0,0.0,Not Listed,0,0,0,1,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,0,0,0,0,0
520,NC,Missing,1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'Scripting', 'R', 'Python']",6,Albemarle Corporation,3,76.0,Not Listed,0,0,0,0,1,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
521,PA,Less than $1B (USD),1,1,0,0,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Microsoft Powerpoint', 'Project Management', 'Microsoft Office', 'SQL', 'Natural Language Processing', 'Python']",7,Lincoln Financial Group,4,735.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
522,WI,Missing,1,0,0,1,1,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Hive', 'Hadoop', 'R', 'Python']",5,"U.S. Venture, Inc.",3,23.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
523,CT,Missing,1,1,0,1,0,Data Scientist,100000-119999,data_scientist,"['Social Media Management', 'R', 'SAS', 'Sentiment Analytics', 'SQL', 'Tableau', 'SPSS', 'Python']",8,WWE,4,76.0,"Media, News and Publishing",0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",1,1,0,0,1,0,0,0,0,0
524,AR,More than $10B (USD),1,1,0,1,1,Staff Data Scientist,100000-119999,data_scientist,"['Hive', 'Microsoft SQL Server', 'R', 'Perl', 'SQL', 'Big Data', 'PHP', 'AI', 'Quantitative Analysis', 'Data Mining', 'Scripting', 'Hadoop', 'SAS', 'Oracle', 'Cassandra', 'Spark', 'Python', 'DB2']",18,Walmart,4,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,1,0,1,0,0,0,0,0
525,AR,More than $10B (USD),1,1,0,1,1,Staff Data Scientist,100000-119999,data_scientist,"['Hive', 'Microsoft SQL Server', 'R', 'Perl', 'SQL', 'Big Data', 'PHP', 'AI', 'Quantitative Analysis', 'Data Mining', 'Scripting', 'Hadoop', 'SAS', 'Oracle', 'Cassandra', 'Spark', 'Python', 'DB2']",18,Walmart,4,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,1,0,1,0,0,0,0,0
526,WA,Missing,0,0,0,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Power BI', 'R', 'Marketing', 'Tableau']",5,Brillio,3,27.0,Not Listed,0,1,0,0,0,0,0,0,0,0,0,0,missing,1,0,0,0,1,0,0,0,0,0
527,VA,Missing,1,0,1,1,1,Data Scientist,100000-119999,data_scientist,"['Linux', 'AI', 'Data Mining', 'Machine Learning', 'Scripting', 'Hadoop', 'R', 'Big Data', 'Shell Scripting', 'Python']",10,"Karsun Solutions, LLC",4,2.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,1,0,0
528,WA,More than $10B (USD),1,1,1,1,1,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Hadoop', 'Scripting', 'Azure', 'R', 'C/C++', 'SQL', 'Big Data', 'Spark', 'Python']",10,Microsoft,4,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,1,0,1,0,0,0,0,0
529,WA,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'SQL', 'Natural Language Processing', 'Data Analysis', 'Python']",6,Fred Hutchinson Cancer Research Center,4,80.0,Organization,0,1,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
530,USA,More than $10B (USD),0,0,0,0,0,AI Chief Data Scientist - PS12747,100000-119999,data_scientist,['AI'],1,"Anthem, Inc.",4,3348.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",0,0,0,0,1,0,0,0,0,0
531,WI,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Time Management', 'Machine Learning', 'R', 'SAS', 'SQL', 'Python']",6,Milliman,4,87.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
532,FL,$1B to $5B (USD),0,0,1,0,0,Sr Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Six Sigma Certification']",3,"NextEra Energy, Inc.",4,248.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
533,FL,Missing,1,1,1,0,0,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Machine Learning', 'Data Analysis', 'Python', 'SQL', 'Tableau']",6,Nielsen,4,2066.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,"10,000+",1,0,0,0,1,0,0,0,0,0
534,MA,More than $10B (USD),1,1,1,1,0,"Senior Data Scientist I, Bioinformatics Developer",100000-119999,data_scientist,"['Machine Learning', 'R', 'Bioinformatics', 'SQL', 'Software Development', 'NoSQL', 'Python']",7,AbbVie,0,0.0,Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,1
535,NJ,More than $10B (USD),1,1,1,1,0,"Data Scientist/Programmer, Bridgewater, NJ",100000-119999,data_scientist,"['AI', 'Machine Learning', 'R', 'SAS', 'SQL', 'Python']",6,SanofiUS,4,3164.0,Pharmaceuticals,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,0,0
536,CO,Missing,1,1,1,0,0,Data Scientist,100000-119999,data_scientist,"['Java', 'Hive', 'System Design', 'Machine Learning', 'Python', 'C/C++', 'SQL']",7,Sovrn Holdings,3,7.0,"Media, News and Publishing",0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",0,0,0,1,1,0,0,0,0,0
537,NY,Missing,1,0,1,1,1,Data Scientist,100000-119999,data_scientist,"['Java', 'Machine Learning', 'Hadoop', 'R', 'Statisical Analysis', 'SAS', 'Python']",7,UL LLC,4,262.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,1,0,1,1,0,1,0,0,0
538,GA,Missing,1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Business Intelligence', 'Data Mining', 'Microsoft SQL Server', 'Machine Learning', 'Power BI', 'R', 'Tableau', 'MySQL', 'PostgreSQL', 'Python']",10,Applied Systems Inc.,3,75.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0,"Less than 10,000",1,0,0,0,1,0,0,0,0,0
539,NY,Missing,0,0,0,0,0,Data Scientist,100000-119999,data_scientist,,0,Delaware North,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,0,1,0,0,0
540,MA,Missing,1,1,0,1,0,Data Scientist,100000-119999,data_scientist,"['R', 'Python', 'SQL']",3,Lovepop,3,4.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,1
541,TX,Missing,1,1,1,0,0,Business Data Scientist,100000-119999,data_scientist,"['AI', 'Machine Learning', 'Power BI', 'Python', 'SQL']",5,Trend Micro,4,98.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,1,0
542,WA,Missing,1,1,1,1,0,Head Data Scientist - Technology,100000-119999,data_scientist,"['Microsoft Project', 'Microsoft SQL Server', 'Machine Learning', 'Project Management', 'Power BI', 'Azure', 'R', 'SQL', 'Microsoft Office', 'T-SQL', 'Visual Studio', 'Git', 'Visio', 'Python']",14,Harbor Wholesale Foods,4,30.0,Food and Beverages,0,1,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
543,OH,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Big Data', 'Machine Learning', 'SPSS', 'R', 'Azure', 'Statisical Analysis', 'SAS', 'Sentiment Analytics', 'Python', 'SQL']",10,Cardinal Solutions Group,5,8.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
544,NY,Missing,1,1,1,1,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'R', 'SQL', 'Big Data', 'Software Development', 'Python']",6,Ascensia Diabetes Care,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
545,NY,Missing,0,0,0,0,0,Customer Data Scientist,100000-119999,data_scientist,"['Scripting', 'Project Management']",2,Smartly,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
546,UT,Missing,1,1,1,0,0,GIS Data Scientist,100000-119999,data_scientist,"['Linux', 'Machine Learning', 'Scripting', 'Power BI', 'SQL', 'Tableau', 'ArcGIS', 'Git', 'PostgreSQL', 'Shell Scripting', 'GIS', 'Python']",12,MarketDial,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,1,0,0,0,1,0,0,0,0,0
547,VA,$5B to $10B (USD),1,0,1,1,1,Data Scientist,100000-119999,data_scientist,"['Pig', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'SAS', 'HBase', 'Big Data', 'Cassandra', 'Python']",10,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",0,1,0,0,1,0,0,1,0,0
548,TX,More than $10B (USD),0,0,1,0,0,Staff Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Data Management']",2,GE Careers,4,4683.0,Industrial Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,1,0
549,IL,Missing,1,1,1,1,0,Data Scientist (944),100000-119999,data_scientist,"['Machine Learning', 'Power BI', 'Azure', 'R', 'Python', 'SQL', 'Tableau']",7,,4,456.0,Not Listed,1,0,0,0,0,0,0,0,0,0,0,0,missing,1,0,0,0,1,0,0,0,0,0
550,MD,Missing,1,1,1,0,0,Data Scientist,100000-119999,data_scientist,"['Machine Learning', 'Git', 'Project Management', 'Python', 'SQL']",5,Mid-Atlantic Permanente Medical Group,3,4.0,Health Care,0,0,1,0,0,0,0,0,0,1,0,0,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
551,OH,More than $10B (USD),1,0,1,1,0,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Microsoft SQL Server', 'Machine Learning', 'Power BI', 'R', 'Oracle', 'Statisical Analysis', 'Tableau', 'S3', 'Alteryx', 'Spark', 'Python']",12,Cardinal Health,4,2722.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",1,0,1,0,1,0,0,0,0,0
552,TX,Missing,1,0,1,1,0,Data Scientist (EG),100000-119999,data_scientist,"['Java', 'AI', 'Machine Learning', 'R', 'MATLAB', 'Python', 'C/C++']",7,Pros.,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,1,1,0,0,0,1,0
553,TX,$5B to $10B (USD),1,0,1,1,1,Data Scientist,100000-119999,data_scientist,"['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Tableau', 'Splunk', 'Big Data', 'Spark', 'Design Experience', 'Docker', 'Python', 'AWS']",12,Booz Allen Hamilton,4,1733.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",1,0,1,0,1,0,0,0,1,0
554,NY,$1B to $5B (USD),0,1,0,1,0,Data Scientist II,100000-119999,data_scientist,"['Data Mining', 'Data Warehouse', 'Visual Basic', 'R', 'SAS', 'Microsoft Office', 'SQL']",7,Paychex Inc.,4,1203.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",0,1,0,0,1,0,1,0,0,0
